,Date,FPT_Close,FPT_Volume,HPG_Close,HPG_Volume,VCB_Close,VCB_Volume,TCB_Close,TCB_Volume,MWG_Close,MWG_Volume
803,2022-02-03,44594.88671875,0,21494.7109375,0,74816.40625,0.0,49618.1796875,0.0,63763.12890625,0.0
804,2022-02-04,44594.88671875,0,21494.7109375,0,74816.40625,0.0,49618.1796875,0.0,63763.12890625,0.0
850,2022-04-11,54061.94921875,0,23633.994140625,0,69772.59375,0.0,45906.2109375,0.0,72184.671875,0.0
865,2022-05-02,52318.02734375,0,22055.0,0,68007.2734375,0.0,41348.48046875,0.0,71799.6875,0.0
866,2022-05-03,52318.02734375,0,22055.0,0,68007.2734375,0.0,41348.48046875,0.0,71799.6875,0.0
953,2022-09-01,52959.7265625,0,15555.8359375,0,70613.234375,0.0,36602.8046875,0.0,71685.59375,0.0
954,2022-09-02,52959.7265625,0,15555.8359375,0,70613.234375,0.0,36602.8046875,0.0,71685.59375,0.0
1040,2023-01-02,47027.75390625,0,12174.1318359375,0,67250.6953125,0.0,24292.234375,0.0,41558.2734375,0.0
1054,2023-01-20,51308.5625,0,14304.6044921875,0,78178.9375,0.0,27346.3828125,0.0,44173.828125,0.0
1055,2023-01-23,51308.5625,0,14304.6044921875,0,78178.9375,0.0,27346.3828125,0.0,44173.828125,0.0
1056,2023-01-24,51308.5625,0,14304.6044921875,0,78178.9375,0.0,27346.3828125,0.0,44173.828125,0.0
1057,2023-01-25,51308.5625,0,14304.6044921875,0,78178.9375,0.0,27346.3828125,0.0,44173.828125,0.0
1058,2023-01-26,51308.5625,0,14304.6044921875,0,78178.9375,0.0,27346.3828125,0.0,44173.828125,0.0
1125,2023-05-01,47394.671875,0,14642.7763671875,0,76077.3515625,0.0,27722.279296875,0.0,37973.98828125,0.0
1126,2023-05-02,47394.671875,0,14642.7763671875,0,76077.3515625,0.0,27722.279296875,0.0,37973.98828125,0.0
1127,2023-05-03,47394.671875,0,14642.7763671875,0,76077.3515625,0.0,27722.279296875,0.0,37973.98828125,0.0
1214,2023-09-01,69723.8203125,0,18667.001953125,0,88457.453125,0.0,32420.966796875,0.0,52617.53125,0.0
1215,2023-09-04,69723.8203125,0,18667.001953125,0,88457.453125,0.0,32420.966796875,0.0,52617.53125,0.0
1300,2024-01-01,69291.1875,0,18903.720703125,0,79720.9140625,0.0,29883.67578125,0.0,41859.30078125,0.0
1328,2024-02-08,75636.2734375,0,19038.990234375,0,89350.9609375,0.0,35052.23828125,0.0,45575.78125,0.0
1329,2024-02-09,75636.2734375,0,19038.990234375,0,89350.9609375,0.0,35052.23828125,0.0,45575.78125,0.0
1330,2024-02-12,75636.2734375,0,19038.990234375,0,,,,,,
1331,2024-02-13,75636.2734375,0,19038.990234375,0,,,,,,
1332,2024-02-14,75636.2734375,0,19038.990234375,0,,,,,,
1378,2024-04-18,80611.3984375,0,18937.5390625,0,,,,,,
1385,2024-04-29,88831.15625,0,19208.07421875,0,90542.3046875,0.0,43791.80078125,0.0,53693.35546875,0.0
1386,2024-04-30,88831.15625,0,19208.07421875,0,90542.3046875,0.0,43791.80078125,0.0,53693.35546875,0.0
1387,2024-05-01,88831.15625,0,19208.07421875,0,,,,,,
1475,2024-09-02,112658.75,0,18971.35546875,0,,,,,,
1476,2024-09-03,112658.75,0,18971.35546875,0,,,,,,
1562,2025-01-01,128340.890625,0,19826.927734375,0,,,,,,
1580,2025-01-27,129098.3046875,0,19752.529296875,0,91932.2109375,0.0,23614.8828125,0.0,59246.3046875,0.0
1581,2025-01-28,129098.3046875,0,19752.529296875,0,91932.2109375,0.0,23614.8828125,0.0,59246.3046875,0.0
1582,2025-01-29,129098.3046875,0,19752.529296875,0,91932.2109375,0.0,23614.8828125,0.0,59246.3046875,0.0
1583,2025-01-30,129098.3046875,0,19752.529296875,0,91932.2109375,0.0,23614.8828125,0.0,59246.3046875,0.0
1584,2025-01-31,129098.3046875,0,19752.529296875,0,91932.2109375,0.0,23614.8828125,0.0,59246.3046875,0.0
1630,2025-04-07,95098.4921875,0,18301.779296875,0,,,,,,
1647,2025-04-30,92068.8046875,0,18971.35546875,0,56886.77734375,0.0,25093.794921875,0.0,59936.36328125,0.0
1648,2025-05-01,92068.8046875,0,18971.35546875,0,56886.77734375,0.0,25093.794921875,0.0,59936.36328125,0.0
1649,2025-05-02,92068.8046875,0,18971.35546875,0,56886.77734375,0.0,25093.794921875,0.0,59936.36328125,0.0
1735,2025-09-01,102018.578125,0,24194.05859375,0,68502.3984375,0.0,37783.8125,0.0,77300.0,0.0
1736,2025-09-02,102018.578125,0,24194.05859375,0,68502.3984375,0.0,37783.8125,0.0,77300.0,0.0
1823,2026-01-01,94498.375,0,23569.119140625,0,57500.0,0.0,34181.47265625,0.0,88400.0,0.0
1824,2026-01-02,94498.375,0,23569.119140625,0,57500.0,0.0,34181.47265625,0.0,88400.0,0.0
1855,2026-02-16,94991.578125,0,23970.8671875,0,64400.0,0.0,34720.1484375,0.0,92800.0,0.0
1856,2026-02-17,94991.578125,0,23970.8671875,0,64400.0,0.0,34720.1484375,0.0,92800.0,0.0
1857,2026-02-18,94991.578125,0,23970.8671875,0,64400.0,0.0,34720.1484375,0.0,92800.0,0.0
1858,2026-02-19,94991.578125,0,23970.8671875,0,64400.0,0.0,34720.1484375,0.0,92800.0,0.0
1859,2026-02-20,94991.578125,0,23970.8671875,0,64400.0,0.0,34720.1484375,0.0,92800.0,0.0
1905,2026-04-27,72402.71875,0,24908.275390625,0,60600.0,0.0,33544.8515625,0.0,83500.0,0.0
1908,2026-04-30,74474.1875,0,24774.359375,0,59800.0,0.0,33153.08984375,0.0,84000.0,0.0
1909,2026-05-01,74474.1875,0,24774.359375,0,59800.0,0.0,33153.08984375,0.0,84000.0,0.0
